Nederlands;Gronings
Verder maar weer.;Verder mor weer.
Aauwerd heeft een mooie beweegtuin gekregen.;Aauwerd het n mooie beweegtoen kregen.
Hier kunnen kinderen zich vermaken terwijl hun moeder en oom op toestellen klommen en met touwen zwaaiden.;Hier konnen kiender zich vergoapen hou heur mamme en oom op toustellen klommen en met taauwen zwaaiden.
Kinderen wilden het ook proberen.;Kiender wollen t ook perbaaiern.
Met hulp van moeder en opa en oom konden ze mooi meedoen.;Met hulp van mamme en opa en oom konnen ze mooi metdoun.
Bij het knoal langs was ook nog wat, maar de jongste zag dat de stammen voor zijn beentjes veel te ver uit elkaar lagen.;Bie t knoal laangs was ook nog wat, mor jongste zee dat de stammen veur zien baintjes veul te ver uut mekoar lagen.
Toen kwamen we bij de brug die er altijd was, maar die nu weg was.;Toun kwamen wie bie de brug dij der altied was, mor dij nou vot was.
De jongste wilde door naar de nieuwe brug, maar we bleven steken bij een grote schommel in een boom waar beide kleinkinderen languit kunnen liggen.;Jongste wol deur noar de nije brug, mor wie bleven steken bie n grode schommel ien n boom woar baaide klaainkiender languut ien liggen konnen.
Moeder aan één kant en oma aan de andere kant lieten ze hen heen en weer zwiepen.;Mamme aan ain kaant en oma aan aander kaant laiten ze hen en weer zwiepen.
'Kijk, daar is jouw moeder geboren en door dat bovenste raam zwaaide ze haar vader uit als die naar het werk ging.;'Kiek, doar is joen mamme geboren en deur dat bovenste roam zwaaide ze heur pabbe uut as dij noar t waark ging.
Dat was haar slaapkamertje.';Dat was heur sloapkoamertje.'
Beiden kwamen tegelijk omhoog om te kijken waar moeder wel niet geboren was en naar opa zwaaide.;Baaiden kwamen tegliek omhoog om te kieken woar mamme wel nait geboren was en noar opa zwaaid haar.
Verder ging het weer.;Verder ging t weer.
Weer door, naar het volgende speeltuintje.;Wierem deur, noar t volgende speultoentje.
Oma en de jongste op de schommel, de oudste in een draaiing, opa op een kistje, oom aan het filmen, moeder draaide de oudste in het rond.;Oma en jongste op de schommel, oldste ien n draaiding, opa op n kastje, oom aan t filmen, mamme draaide oldste ien t ronne.
Toen die misselijk werd van het draaien, wilden ze naar huis.;Toun dij mizzelk van t draaien was, wollen ze noar huus.
De hele optocht weer door het dorp.;Haile optocht weer deur t dörp.
Toen we voor de kerk langs kwamen, wilde opa de kleinkinderen toch nog even om het hoekje laten kijken toen hij zag dat de kerk open was.;Toen wie veur kerk langs kwamen, wol opa klaainkiender toch nog even om t houkje kieken loaten toun hai zag dat kerk open was.
Het had wat fouten in de aarde dat er met kinderen naar binnen mocht maar uiteindelijk lieten de wachters ze toch door.;t Haar wat vouten ien eerde dat er met kiender noar binnen mog mor uutèndelk laiten de wachters ze toch deur.
Opa was per slot van rekening jarenlang diaken geweest in deze kerk en oma al helemaal, dus dat moest toch door kunnen gaan.;Opa was per slöt van reken joaren dioaken west ien dizze kerk en oma ollerling, dus dat mos toch deurgoan.
Ik bleef met mijn dochter maar even buiten op het hekje zitten.;Ik bleef met mien dochter mor even boeten op t hekje zitten.
Kinderen waren onder de indruk van het hoge gebouw en oom vertelde hen wat er in een kerk gebeurde, want kinderen wilden wel even weten wat moeder daar vroeger deed.;Kiender waren onder iendruk van t hoge gebaauw en oom haar ze verteld wat ien n kerk gebeurde, want kiender wollen wel even waiten wat mamme doar vrouger dee.
Nog een klein eindje lopen en we waren weer thuis.;Nog n klaain endje lopen en wie waren weer thuus.
Na zo’n lange wandeling is het lekker ijsjes eten bij opa en oma in de toen.;Noa zo’n lange wandeling is t lekker ijsco eten bie opa en oma ien toen.
Dochter vond dat het dorp wel mooi geworden was.;Dochter von dat t dörp wel mooi worren was.
Kinderen vonden het wel vreemd dat de stoepen in onze straat zomaar onderbroken werden door stukken modder waar nog planten in moesten komen.;Kiender vonnen t wel vremd dat de stoepen ien ons stroat zomor onderbroken werren deur stukken modder woar nog planten ien kommen motten.
Papa en mama hadden hen geleerd op de stoep te lopen, maar hoe moet dat nu.;Pabbe en mamme haren ze leerd op stoep te lopen, mor hou mos dat nou.
Misschien komen er nog wel nieuwe verkeersregels voor zulke soorten wegen.;Misschain kommen der nog wel nije verkeersregels veur zuksoort wegen ien
Aauwerd, wel zal ik zeggen.;Aauwerd, wel zal t zeggen.
Maar als je door de ogen van kleinkinderen kijkt, is Aauwerd een mooi dorp met een hoop eigenaardigheden.;Mor as je deur ogen van klaainkiender kieken, is Aauwerd n mooi dörp met n baarg aigenoaregheden.
15 Weet jij ...;15 Waist doe ...
weet jij wat een 'poetje' is?;waist doe wat n 'poetje' is?
het was geen kattenpis.;wis woar gain kattepis.
weet jij wat een 'tuut' is?;waist doe wat n 'tuut' is?
niet zomaar een fetuut weet jij wat een 'iegel' is?;nait zo moar n fetuut waist doe wat n 'iegel' is?
die spel prikt die gewis weet jij wat een 'doetje' is?;dij spèl prikt die gewis waist doe wat n 'doetje' is?
dat weet je mijn moetje weet jij wat een 'koater' is?;dat wait ja mien moetje waist doe wat n 'koater' is?
neef van poetje, half zat weet jij wat een 'tuutaai' is?;neef van poetje, haalf zat waist doe wat n 'tuutaai' is?
ding uit tuut zijn gat weet jij wat een 'schiere' taal is?;ding oet tuut zien gat waist doe wat n 'schiere' toal is?
Groningers, zo plat als wat;Grunnegers, zo plat as wat
Ogen gaan heen en weer kijk op;Ogen goan hinneweer kiek op
Huizen staan op weer;Hoezen stoa op wier
Framaheerd, duivelspad aan vuile doek;Framaheerd, duvelspad oam vuilt dokeg
Melkemoor, historie zat stil mijn denk wat een schiere stel schapen in een donker weggeweest horizon ondergaande zon achterwege;Melkemoa, historie zat stil mien denk wat n schier stee schoapen in n dont wied vot horizon onnergoande zun achterwegens
Huizen zo klein zo rijk aan oudheid kom geen zien het was geen moeite kleinkloeten die roken groeien, bloeien schiereghaid, het land om mij toe;Hoezen zo klaain zo riek aan oldhaid sikkom gain zain wiswoar nem muite klaaikloeten dij roeken gruien, bluien schiereghaid, t laand om mie tou t
Marousha schiere wichtje met jouw zwarte haren waar kom je vandaan, waar ben je geboren mijn land is dat van jou, daar in te staan we moeten samen leven gaan.;Marousha schiere wichtje mit dien swaarde hoaren woar komst doe vot, woar bist geboren mien laand is dienent, doar in te stoan wie mouten soam leven goan.
Schiere wichtje is hier opgegroeid, winstgevend tot boeket bloed, haar land is wijd, zo wijd weg voor vrede tot;schiere wichtje is hier opgruid wìnsteghaid tot boeket bluid heur laand is wied, zo hail wied vot bid voak veur vree tot
Schiere wichtje wil zo graag hier blijven, naar moederland kan zij alleen maar schrijven, veel tranen op haar wang zij het verdraagt, het maakt zo bang.;schiere wichtje wil zo geern hier blieven noar mouderlaand kin zai allènt mor schrieven veul troanen op heur waang zai t verdrait, t moakt zo baang.
Schiere wichtje, in land van melk en honing, was eerlijk gezegd niet, het begin was zonnig, gaat die nu helemaal goud zonder winst en vergraaimd bloed.;schiere wichtje, in laand van melk en hunneg wis eerlieks woar nait, t begun was zunneg gaait die nou haile goud zunder wìnst en vergraimde bloud.
Schiere wichtje, jij moet kiezen, wil je niet dienen, naam en land verlaten, gaat die hier goed met schiere steen, wees daar dan met tevreden.;schiere wichtje doe most kaizen wilst nait dien noam en laand verlaizen gaait die hier goud mit schiere stee wees doar din mit tevree.
Schiere wichtje met die zwarte haren, daar ga jij heen, waar je geboren bent is dan de vraag, pak je hand vast naar het beloofde land.;schiere wichtje mit die swaarde hoaren doar gaaist doe hìn woarst bist geboren is din de vroag pak k dien haand vaast noar t verzegde laand.
17 Logé Klaainzeun kwam voor het eerst luisteren.;17 Logé Klaainzeun kwam veur t eerst lozaaiern.
Het leek goed te gaan.;t Leek goud te goan.
Na het voorlezen kroop hij er lekker in.;Noa t veurlezen kroop e der lekker in.
Maar was hij er ook zo weer uit.;Mor was der ook zo weer oet.
Hij had snok.;Hai haar snok.
Wij hielden ons aan en deden het versje: snok en ik gingen over het meer, snok bleef weg en ik kwam weer.;Wie hilden ons oam in en deden t spultje: snok en ik gingen over t meer, snok bleef weg en ik kwam weer.
Wat later stond hij weer in kamer en zei: 'Ik;Wat loater ston e weer in koamer en zee: 'k
Vind het schilderij van over-opa in het slaapkamertje niet mooi, hij kijkt al naar mij.' 'Zal ik hem weghalen?' vroeg ik.;Vin t schilderij van ol-opa in t sloapkoamertje nait mooi, hai kikt aal noar mie.' 'Zel k hom vothoalen?' vroug ik.
Maar toen kwamen de vragen.;Mor dou kwamen de vroagen.
'Waar is die opa?;'Woar is dij opa?
"Is die ""overleden""?' 'Ja,' die slaapt nu voor altijd, net als in sprookjes.";Is dij “verstorven”?' 'Joa,' dij slept nou veur aaltied, net as in sprookjes.
En hij was ja al oud.' Daar kwamen wat waterlanders.;En hai was ja al old.' Doar kwamen wotterlaanders.
"'Ik wil niet ""overleden"" en jij bent ook oud.";'Ik wil nait “verstorven” en doe bist ook old.
"Ga jij ook ""overleden""?' 'Ik hoop van nog lang niet.'";Gaaist ook “verstorven”?' 'Ik hoop van nog laank nait.'
O, jee, die sliep nog in geen honderd jaar, ging door mij heen.;O, jee, dij slept nog in gain honderd joar, ging deur mie hìn.
Volgende vraag kwam, die was nog veel stoerder: 'Waar is over-opa nu?;Volgende vroag kwam, dij was nog veul stoerder: 'Woar is ol-opa nou?
Ik probeerde: 'Hij woont in een huisje op het kerkhof.' 'Kan ik daar ook naar toe om te kijken?;Ik pebaaierde: 'Hai woont in n hoeske op t kerkhof.' 'Kin ik doar ook noar tou om te kieken?
Mijn gevoel zei, dat dit verkeerde kanten aan ging.;Mien gevuil zee, dat dit verkeerde kaant aan ging.
Maar gelukkig bedacht hij zelf oplossingen: 'Is hij dan bij God?;Mor gelukkeg bedocht e zulf oplözzen: 'Is e din bie God?
En gaat hij ook weer leven, net als;En gaait e ook weer leven, net as
Jezus, die ging eerst nog eten, ging aan het kruis dood en toen stond hij toch weer op?';Jezus, dij ging eerst nog eten, ging aan t kruus dood en dou ston e toch weer op?'
Dat was het verhaal van;Dat was t verhoal van
Pasen.;Poaske.
En of dat hem geruststelde, zei hij: 'Maar;En of dat hom geruststelde, zee e: 'Mor
God in de;God in de
Hemel ziet alles en zorgt nu ook voor over-opa.';Hemel zigt ales en zörgt nou ook veur ol-opa.'
Ik kon alleen maar opgelucht knikken.;Ik kon allain mor opgelucht nikken.
Jong viel in een diepe slaap tot aanstaande morgen.;Jong vil in n daipe sloap tot aanderdoags smörns.
Ik was blij, dat ze op zijn school in Stad ook hier aandacht aan geven.;Ik was blied, dat ze op zien schoul in Stad ook hier aandacht aan geven.
En dit jongetje ontgaat nu eenmaal niet veel en onthoudt alles.;En dit jonkje ontgaait nou ainmoal nait veul en ontholdt ales.
Kunny Luchtenberg Dichteres 'Ik zei het niet meer zitten,' zegt vrouw Eef Everts hardop.;Kunny Luchtenberg Dichteres 'k Zai t nait meer zitten,' zegt vraauw Eef Everts haardop.
Zij heeft een rode kop van het prakken.;Zai het n rooie kop van t prakkezaaiern.
En dan heeft zij het gevonden, een regel die haar aanstaat.;En din het zai t vonnen, n regel dij heur aanstaait.
Zij zegt het hardop: 'Als een doek zo valt het web ...;Zai zegt t haardop: 'As n douk zo vaalt t web ...
als een web zo valt het doek ...' Hopla, daar komt het al op papier.;as n web zo vaalt t douk ...' Hopla, doar komt t aal op pampier.
Zij is nogal beroemd, die dichteres, hier in deze stad en daar buiten en zij is kwaad op hele wereld.;Zai is nogal vernoamd, dij dichteres, hier ien dizze stad en der boeten en zai is kwoad op haile wereld.
Vrouw Eef Everts wordt gewaardeerd.;Vraauw Eef Everts wort waardeerd.
Er is juist weer een boekje uitgekomen met gedichten van haar in 'Haaientannen-reeks'.;Der is juust weer n boukje oetkommen mit gedichten van heur ien ‘Haaientannen-reeks’.
Maar toch, zij heeft het boekje open.;Mor doch, zai het bokkeproek op.
Voor het huis, zij wonen in bovenwoningen, is een openbare vijver.;Veur t hoes, zai wonen ien bovenwonen, is n openboare viever.
Een man en een vrouw met twee jongentjes zijn eenden aan het voeren.;n Man en n vraauw mit twij leujonges binnen eenden aan t vouern.
Stoot is opmaak netjes in blokjes gesneden.;Stoet is apmoal netjes ien blokjes sneden.
Vrouw Eef Everts gaat voor het raam staan.;Vraauw Eef Everts gaait veur t roam stoan.
Tuurt door een glief in glasgerdienen en ziet hem staan.;Tuurt deur n glief ien glasgerdienen en zigt heur stoan.
Zij vindt die man bij vijver maar een slapscheet.;Zai vient dij man bie viever mor n slapscheet.
Maar die vrouw lijkt haar wel dapper toe.;Mor dij vraauw liekt heur wel dapper tou.
Het is een stevig propje met licht haar.;t Is n steveg propke mit licht hoar.
Kleur is vervaagd van zichzelf, denkt Eef Everts.;Kleur is vervaast van heurzulm, dinkt Eef Everts.
Als het haar geverfd was geweest, dan was het lichter en geler van kleur geweest.;As t hoar vaarfd was din was t lichter en aingoaler van kleur west.
Maar die man mag Eef Everts niet lijden.;Mor dij man dij maag Eef Everts nait lieden.
Beide jongens kunnen zij op hun rug hebben.;Baaide leujonges kin zai op ruggen zain.
Kijk, en nu kijkt die slapscheet naar Eef Everts haar huis.;Kiek, en no kikt dij slapscheet noar Eef Everts heur hoes.
Hij loert ook naar boven toe.;Hai loert ook noar boven tou.
Zou hij met haar kunnen, vraagt zij zich af, en wat dan nog...;Zol hai mie zain kinnen, vragt zai heur òf, en wat din nog ...
Ik denk dat enkel zijn wijfje hem lijden mag, dat propje.;k Dink dat ìnkeld zien wiefke hom lieden maag, dat propke.
Andere mensen hebben ook schijt aan hem.;Aander minsen hemmen ook schiet aan hom.
En het propje heeft enkel niemand gekregen omdat het propje dat graag wilde.;En t propke het ìnkeld kiener kregen omreden dat t propke dat geern wol.
Die kerel ziet zijn vriend niet staan.;Dij kerel zigt zien kiener nait stoan.
Het enkel oog voor mijn huis.;Het ìnkeld oog veur mien hoes.
Eenden eten met pelzaaier stukjes stoet op.;Eenden eten mit pelzaaier stukjes stoet op.
Zij kunnen brokjes goud doorslikken.;Zai kinnen brokjes goud deursloeken.
Op een hele witte eend naar binnen het opeens grijze eenden.;Op n haildal widde eend noa binnen t apmoal graauwe eenden.
Eef Everts ziet er wel een begin van een gedichtje in.;Eef Everts zigt ter wel n begun van n gedichtje ien.
‘Door ogen gestreeld, doe kleine witte minstreel.;‘Deur ogen streeld, doe leutje widde minstreel.
Witte eend maak dan al makkers.;Widde eend maank dien òl makkers.
Voorbij door een paar stakkers...’ Zij is weer aan het dichten.;Vouerd deur n poar stakkers...’ Zai is weer aan t dichten.
Met een wat heestere stem brabbelt zij wat voor haar uit.;Mit n wat haisterge stem brabbelt zai wat veur heur oet.
Was zij eerst verbrand op de hele wereld, op het heden is het die krulkop bij wiever daar zij een hekel aan heeft.;Was zai eerst verbraand op haile wereld, op t heden is t dij krulkop bie viever doar zai n hekel aan het.
Over vijf, zes jaar, denkt zij, dan is die krulkop weg...;Over vief, zes joar, dinkt zai, din is dij krulkop vot...
Dan heeft hij weer een nieuwe poedie.;Het hai weer n nije poedie.
Laat hij haar zitten met die beide bengels.;Let hai heur zitten mit dij baaide bìngels.
Dan kan zij een nieuwe kerel opzoeken.;Din kin zai n nije kerel opzuiken.
Kom eendjes, kom maar gauw!;Kom eendjes, kom mor gaauw!
Nog algedurend kwaad trekt Eef Everts haar gordijnen toe.;Nog aalgedureg kwoad trekt Eef Everts glasgerdienen tou.
'Hoe laat ga jij weg?' vraagt Wims, haar man, die ook in de kamer zit.;'Hou loat mos doe vot?' vragt Wims, heur man, dij ook ien koamer zit.
'Over een half uurtje.;'Over n haalf uurke.
Ik moet voorlezen van vier tot vijf en daarna nog even zitten.' 'Staat alles al in de auto?' ‘Ja mijn jong!’;k Mout veurlezen van vaaier tot vief en boudel nog even hìnzetten.' 'Hes ales aal ien outo stoan?' ‘Joa mien jong!’
In de auto heeft zij een grijze afvalbak vol met poppetjes en beestjes van lappen, katoen en zacht goud.;Ien outo het zai n grieze òfvalpuut vol mit popkes en baistjes van lappen, ketoen en zaacht goud.
In een kofferbak staan ook een ouderwetse elektrische grammofoon en een koffertje met grammofoonplaten.;Ien kovverbak stoan ook n òlmoodse elektrieke grammefoon en n kovverke mit grammefoonploatjes.
Zij moet vanmorgen voordragen in een oud schoolgebouw voor een vrouwenvereniging.;Zai mout vanmirreg veurdroagen ien n ol schoulgebaauw veur n vraauwluverainen.
Het is haar gewoonte om op het toneel, daar zij op voordragen gaat, wat tafels neer te zetten.;t Is heur gewoonte om op t toneel, doar zai op veurdroagen gaait, wat toavels deel te zetten.
Daar komen poppetjes en beestjes op te staan.;Doar kommen popkes en baistjes op te stoan.
Zij heeft het storegaan de wereld van dat goud.;Zai het stoaregaan de wereld van dat goud.
Een heel neutraal, roze, lichtblauwe, witte, zachtgele beertjes en ander gekleurde, kromme poppetjes.;n Hail nust, rose, lichtblaauwe, widde, zaachtgele beerkes en aner kleurde, kurege popkes.
Voordat zij met voordragen begint draait zij alle grammofoonplaten: lichte marsmuziek en vriendliedjes.;Veurdat zai mit veurdroagen begunt draait zai òl grammefoonploatjes: laist marsmeziek en kienerlaidjes.
Daar kijken mensen van op.;Doar kieken minsen van op.
Dat is het schiere ervan.;Dat is t schiere dervan.
Haar gedichten zijn niet zo lief.;Heur gedichten binnen nait zo laif.
Die zijn altijd van taal en stoer te begrijpen.;Dij binnen òlmoods van toal en stoer te begriepen.
Haaientanden-reeks, daar haar boekje in uitgekomen is, die mag er weer.;Haaientannen-reeks, doar heur boukje ien oetkommen is, dij maag der weden.
Zijn geen boekjes voor mensen met enkel basisschool.;Binnen gain boukjes veur minsen mit ìnkeld boasesschoul.
Haar gedichtenboekje heet ‘Metworsten bij Evenaar’.;Heur gedichtenboukje hait ‘Metworsten bie Evenoar’.
'Wims,' zegt Eef Everts, 'wil je de auto even voor mij draaien?' Het is altijd hetzelfde liedje.;'Wims,' zegt Eef Everts, 'wils doe outo even veur mie draaien?' t Is aaltied zulde laidje.
Als zij naar winkels toe was geweest is het een zootje, en zij komt weer thuis, dan staat de auto met de neus naar het noorden toe.;As zai noar winkels tou west het ien sintrom, en zai komt weer thoes, din staait outo mit neus noar noor tou.
Dat is niet handig.;Dat is nait hanneg.
Zij moest vanmorgen weer naar het ziekenhuis toe.;Zai mout vanmirreg weer noar t sintrom tou.
Kost Eef Everts zichzelf te veel moeite om auto te rijden.;Kost Eef Everts zulm te veul muite om outo te draaien.
Wims geeft er niets om.;Wims geft der niks om.
Hij wacht even totdat er geen verkeer op de weg is en hup.;Hai wacht eefkes totdat der gain verkeer op weg is en hup.
Eén twee, drie telde hij voordat hij auto reed.;Ien twij, drij tel het hai outo draaid.
Het is voor hem maar even een ommetje.;t Is veur hom mor even n biegoan.
Eef Everts kijkt te verbazing hoe Wims de auto voor het huis zet.;Eef Everts kikt te roam oet hou Wims outo veur t hoes zet.
Zij ziet een rode met een witte vlek op de weg liggen met plotseling witte sneeuwvlokken die opstuiven.;Zai zigt n rooie mit n widde vlek op weg liggen mit apmoal widde snijvlokken dij opstoeven.
Witte eend is doodgereden ...;Widde eend is doodjagd ...
Als Wims weer boven is staan er tranen in haar ogen.;As Wims weer boven is stoan der troanen ien heur ogen.
'Wils doe alsjeblieft alles wat van die witte eend nog over is in een plastic bakje doen?;'Wils doe asteblaift ales wat van dij widde eend nog over is ien n plastieken puut doun?
Alsjeblieft;Asteblaift
Wims!' 'Hou alsjeblieft op dat ik die troep van de straat afkrijg?' zegt hij, 'Moet ik alles ervan afschrapen ofzo?' 'We hebben een bak staan, die krijg je maar.;Wims!' 'Hou wils doe dat k dij smurrie van stroat òfkrieg?' zegt hai, 'Mout k ales der vanòf schroapen ofzo?' 'Wie hemmen n bats stoan, krieg dij mor.
En zet het bakje maar bij mijn auto.';En zet puut mor bie mie ien outo.'
Er is geen verdomde smeerworst of pastai, als een witte eend die platgewalst is op de weg, denkt zij en vraagt zich af of dat al eerder beschreven is.;Der is gain verdraiteger smeerworst of pestaai, as n widde eend dij platwaalst is op weg, dinkt zai en vragt heur òf of dat aal eerder schreven is.
Dan zijn het mijn woorden.;Din binnen t mien woorden.
Maar ik heb geen tijd meer om het op te schrijven.;Mor k heb gain tied meer om t op te schrieven.
Ik zal het wel weer vergeten.;k Zel t wel weer vergeten.
Jammer, jammer, jammer.;Schane, schane, schane.
19 Boeken om niet te lezen Nu ik ouder word, peins ik af en toe wel eens over vroeger.;19 Bouken om nait te lezen Nou k older wor, miemer ik òf en tou wel ains over vrouger.
Over mijn kindertijd bijvoorbeeld.;Over mien kindertied bieveurbeeld.
Heel vaak moet ik dan denken aan Siert.;Hail voak mout k din denken aan Siert.
Dat was mijn beste vriend op de lagere school.;Dat was mien beste vrund op de legere schoul.
In die tijd realiseerde ik me niet zo dat Siert toen ook al best wel een vreemde was.;In dij tied realiseerde k mie nait zo dat Siert toun ook al best wel n maal appie was.
We praatten niet zo veel, maar spelen deden we wel.;Wie pruiten nait zo veul, moar speulen deden we wél.
Een van ons beiden kwam met een voorstel wat we zouden doen.;Ain van baaident kwam mit n veurstel wat of we doun zellen.
Meestal was ik dat en de ander zei dan ja of hij knikte en daar gingen we.;Mainsttied was ik dat en d'aander zee din joa of hai knikte en doar ging we.
Siert is eigenlijk nooit zo'n prater geweest en luisteren deed hij ook niet zo.;Siert is aigenliek noeit zo’n proater west en luustern dee e ook nait zo.
En toen ik hem na een lange tijd weer tegenkwam drong dat weer goed tot me door.;En toun k hom noa n laange tied weer tegenkwam drong dat weer goud tot mie deur.
We liepen elkaar tegen het lief in een halfsluitende boekwinkel tegen.;Wie luipen mekoar tegen t lief in n haalfsleten boukenwinkel.
We keken elkaar aan en ik zag dat hij mij ook herkende.;Wie keken mekoar aan en k zag dat hai mie ook herkende.
Maar hij zei niks en ging verder met het kijken naar boeken.;Moar hai zee niks en ging verder mit t kieken noar bouken.
Ik kon me er niet bij neerleggen dat we elkaar na zoveel jaren niks te zeggen hadden.;Ik kon mie der nait bie neerleggen dat wie mekoar noa zoveul joaren niks te zeggen haren.
Ik wilde toch wel graag weten hoe zijn leven zich ontwikkeld had na de lagere school en dat zei ik ook tegen hem.;k Wol toch wel groag waiten hou zien levent zoch ontwikkeld haar noa de legere schoul en dat zee k ook tegen hom.
Toen zei hij dat ik alles aan hem vragen mocht.;Toun zee e dat ik alles aan hom vroagen mog.
Ik liet me dat vanzelf geen twee maal zeggen want ik had ondertussen heel wat te vragen.;Ik luit mie dat vanzulf gain twij moal zeggen want ik haar ondertied hail wat te vroagen.
Op mijn eerste vraag 'hoe gaat het met je?' kreeg ik nog antwoord.;Op mien eerste vroag 'hou gaait t mit die?' kreeg ik nog antwoord.
Maar bij mijn volgende vraag werd het me al snel duidelijk: hij gaf nergens antwoord op.;Moar bie mien volgende vroag wer t mie al snel dudelk: hai gaf naargens antwoord op.
Nu wist ik nog van vroeger dat mondeling communiceren met Siert een absolute uitdaging was.;Nou wis ik nog van vrouger dat mondeling communiceren mit Siert n adinleke uutdoagen was.
Samen spelen was simpel, maar praten ho maar.;Mit nander speulen was schier, moar proaten ho moar.
Ik wilde al het gesprek op gang brengen en zei tegen hem dat elk antwoord op een vraag van mij beter is dan geen antwoord en als hij liever de vragen stellen wilde, dat hij dat dan gewoon doen moest.;Ik wol aal t gesprek op gaang brengen en zee tegen hom dat elk antwoord op n vroag van mie beter is din gain antwoord en as hai laiver de vroagen stellen wol, dat hai dat din gewoon doun mos.
Toen kwam hij toch eindelijk een beetje los.;Toun kwam hai toch endelk n beetje lös.
'Mensen,' zei Siert, 'maken meer kapot met praten dan met daden.;'Mensken,' zee Siert, 'moaken meer kepot mit proaten din mit dhaanden.
Moet nooit je tijd verknoeien met mensen die kletsen en onzin uitkramen.;Most noeit dien tied verknoedeln mit mensken dij jeuzeln en flepsjijken.
Thuis praat ik heel veel met mezelf.;Thuus proat k hail veul mit miezulf.
En als dat gesprek goed verloopt dan pak ik mijn gitaar en dan zing ik er ook bij.;En as dat gesprek goud verlopt din pak ik mien gitaar en din zing k der ook bie.
Ik maak mijn eigen liedjes.;Ik moak mien aigen laidjes.
In mijn huis heb ik op zolder een studio ingericht waardoor ik alles opneem wat ik maak.';In mien huus heb k op beune n studio inricht woardat k alles opneem wat ik moak.'
Ik kreeg plotseling een ingeving.;Ik kreeg opins n ingeven.
Hij stond schijnbaar geïnteresseerd naar boeken te kijken, dus dacht ik dat ik daar maar wat over vragen moest.;Hai ston iebels geïnteresseerd noar bouken te kieken, dus docht ik dat k doar moar wat over vroagen mos.
Ik vraag hem welke boeken hij het liefst leest.;Ik vruig hom welke bouken hai t laifst las.
'Ik lees geen boeken,' zegt Siert.;'Ik lees gain bouken,' zee Siert.
Dat kwam mij wel heel vreemd voor en dat zei ik ook tegen hem.;Dat kwam mie wel hail vrumd veur en dat zee k ook tegen hom.
En toen zei hij: 'Je kunt boeken gebruiken voor meer dan alleen lezen.;En toun zee e: 'Kinst bouken bruken veur meer dan allain lezen.
Je kunt er mee gooien, je kunt ze opstapelen en als trappetje gebruiken.;Kinst der mit goeien, kinst ze opstoapeln en as trapke bruken.
In mijn studio heb ik aan alle wanden boekenkasten staan, want boeken zijn heel goed voor de akoestiek bij mijn muziek.;In mien studio heb k aan alle wanden boukenkaasten stoan, want bouken binnen hail goud veur d'akoestiek bie mien meziek.
En dan maakt het mij niet uit welke boeken er in die kasten staan en wat er in die boeken staat.';En din moakt t mie nait uut wat veur bouken of er in dij kaasten stoan en wat of er in dij bouken staait.'
20 Bamboe Swaalfjes zijn weer weg.;20 Bamboe Swaalfkes binnen weer vot.
Liesterkralen hebben de kleur van het Nederlands elftal.;Liesterkralen hebben kleur van Nederlands elftal.
We liggen eruit, voor de zoveelste maal.;Wie liggen der oet, veur zoveulste moal.
Ik wil buigen als bamboe, niet om te buigen, maar om te overleven.;k Wol boegen as bamboe, nait om te boegen, mor om t overleven.
Veel;Vèl
Kan het veel niet schudden als een paard onder muggen, te dun om mij ermee in te smeren tegen de wens naar die.;Kin t vèl nait schudden as n peerd onder muggen, te dun om mie in te smeren tegen wenst noar die.
Het is hoogzomer.;t Is hoog zummer.
Het wordt er niet beter op.;t Wordt der nait beter op.
Alles wat beweegt komt op die touw of gaat van die weg.;Doef Aal wat of beweegt komt op die tou of gaait van die vot.
Moet wel in het oog houden: waar een doof drinkt drinkt de kat ook.;Most wel in t oge holden: woar of doef drinkt drinkt kadde ok.
Veelerveen 21;Veelerveen 21
Veelerveen vond op zaterdag 25 september het eerste streektaalconcert van dit seizoen plaats.;Veelerveen von op zotterdag 25 september t eerste streektoalkonsert van dit seizoen ploats.
Na zeker anderhalf jaar zonder normale optredens mocht het weer los gaan zonder al te veel bijzondere maatregelen.;Noa sikkom aanderhaalf joar zunder normoale optredens mog t weer lös goan zunder aal te veul biezundere moatregeln.
Huttinga bracht twee jaar geleden;Huttinga brocht twij joar leden
Jongedijk al eens bij elkaar op het kleine streektaalfestival.;Jongedijk aal n moal bie mekoar op t ploatselke streektoalfestival.
Deze reis nodigde hij deze voltaal heel sterke streektaalzangers voor een gezamenlijk avondvullend optreden.;Dizze raais nuigde hai dizze vokoal hail staarke streektoalzangers veur n gezoamenlek oavendvullend optreden.
Het publiek ging er eens goed voor zitten en vanaf het begin werden zij getrakteerd op schiere luisterliedjes.;t Pebliek ging der ains goud veur zitten en vanòf t begun wuiren zai traktaaierd op schiere luusterlaidjes.
Om beurten speelden zij allenneg hun eigen liedjes, terwijl dat zij een paar nummers samen zongen.;Òfwizzelnd speulden zai allenneg heur aigen laidjes, terwiel dat zai n poar nummers soam zongen.
Josien werd aangekondigd als streektaaltalent.;Josien wuir aankondegd as streektoaltalent.
Dat heeft vast met haar jonge leeftijd te maken en met het feit dat er afgelopen twee jaar niet zoveel optredens waren.;Dat het vast mit heur jonge leeftied te moaken en mit t fait dat der òflopen twij joar nait zoveul optredens waren.
Maar hoe lang blijf je talent?;Moar hou laank blief je talent?
