nld_Latn;gos_Latn
Met de borst vooruit stapte hij de keuken in.;Mit borst veuroet stapte hai noar keuken tou.
Geert Wieko ging hem een lekker bordje papa maken.;Geert Wieko ging hom n lekker bordje pap moaken.
1 Elders Ameling;1 Eldert Ameling
21 Fijne feestdagen 2 Bienoa alweer een jaar!;21 Fijne feestdoagen 2 Bienoa alweer n joar om!
Er was weer heel wat onrus in het afgelopen jaar, met als afsluiting: boeren willen distributiecentra van supermarkten platleggen.;Der was weer hail wat reuren in t òflopen joar, mit as òfsloeter: boeren willen distributiecentra van supermaarten lamleggen.
de mensen zijn gewaarschuwd, dus hamsteren maar.;d'Lu binnen woarschaauwd, dus hamstern mor.
Geen probleem!;Gain probleem!
De ouderen onder ons maken zich daar niet zo druk om, zij hebben wel minder tijden meegemaakt.;Oldern onder ons moaken zok doar nait zo drok om, dij hebben wel mindere tieden mitmoakt.
Ze denken meer aan de mensen die hun dit jaar ontvallen zijn.;Zai denken meer aan d'lu dij heur dit joar ontvalen binnen.
En dat zijn er behoorlijk wat.;En dat binnen der nogal wat.
Jeetje, weer veel te veel: Jaantje, Pietje, Kloaske en nu ook Meindert Schollema van Pekel!;Tjezus, weer veuls te veul: Jaantje, Pietje, Kloaske en nou ook nog Meindert Schollema van Pekel!
69 jaar nog, je bent toch te jong?;69 joar nog mor, veuls te jong toch?
Die man moet een standbeeld hebben, wat een knappe kerel!;Dij man mout n standbeeld hebben, wat n tovve gozer!
Hij was er voor iedereen, sprak u niet tot de mond en was er oprecht voor het volk.;Hai was der veur elk, prait joe nait noar de mond en was der oprecht veur t volk.
Zulke iemand krijgen ze daar in Pekel nooit meer!;Zo aine kriegen ze doar in Pekel nooit weer!
Zelf kon ik hem voor het eerst ontmoeten op een feestje van De Zonnebloem in Pekel.;Zulf mog k hom veur t eerst mitmoaken op n feestje van De Zonnebloem in Pekel.
Willy Petzinger, degene die ik kende van de Seniorendag Winschoten, had me uitgenodigd.;Willy Petzinger, dij ik kon van de Seniorendag Winschoten, haar mie nuigd.
Per toeval was ik bij de zonnebloem-afdelingen Schemde, zodoende.;Touvalleg was ik bie de Zonnebloem-òfdailen Scheemde, zodounde.
Ik heb jullie op de eerste rang geplaatst, zei hij bij de ingang.;'k Heb joe op d'eerste rang zet,' zee hai bie binnenkomst.
We zaten net op het stoep, toen er een man tegenover ons kwam zitten zitten.;Wie zaten net op stee, dou der n man tegenover ons zitten kwam.
Ik zal me even voorstellen: Schollema. En hij ging in het Gronings met ons verder.;'k Zel mie even veurstellen: Schollema.' En hai ging in t Grunnegs mit ons wieder.
'Versta je die man?' vroeg mijn maat.;'Versta jij die man?' vruig mien moat.
Hij was een westerling en kreeg geen woord mee.;Hai was n westerling en kreeg gain woord mit.
"Ja hoor! ""Mooi man, een burgemeester die zijn volkstaal spreekt.";'Ja hoor!' 'Mooi man, een burgemeester die zijn volks taal praat.
Tof!';Tof!'
De leerling kreeg van ons gesprek een beetje mee en verontschuldigde zich: 'Sorry hoor, ik kan natuurlijk ook;Schollema kreeg van ons gesprek n beetje mit en verontschuldegde zok: 'Sorry hoor, ik kan natuurlijk ook
ABN.';ABN.'
Hij paste juist aan.;Paasde zok geliek aan.
Tegen mijn maat in het ABN en tegen mij in het plat.;Tegen mien moat in t ABN en tegen mie in t plat.
Wat een aardige man, helemaal geen burgemeestertipe!;'Wat een aardige man, helemaal geen burgemeesterstype!'
"Zijn openingswoord ging weer in het plat en mocht ik naar mijn manier toe vertalen: ""Hij zegt, dat zijn vrouw een andere agenda heeft en niet aanwezig kan zijn.";Zien openingswoord ging weer in t plat en mos ik noar mien moat tou vertoalen: 'Hij zegt, dat zijn vrouw een andere agenda heeft en niet aanwezig kan zijn.
Maar ze komt wel!;Maar ze komt nog wel hoor!
"Meestal gaan ze samen overal heen! ""Oh?";Meestal gaan ze samen overal naar toe!' 'Oh?
Wat leuk! Mooie herinneringen aan een sympathieke man...;Wat leuk!' Mooie herinnerns aan n sympathieke man ...
een mens!;n mens!
Woensdag 10 december.;Wonsdag de 10e dezember.
Schrijf jij de nieuwjaarskaartjes even? vraagt moeder.;'Schrifst doe de nij-joarskoartjes even?' vragt moeke.
"Eh ja, moet dat nu al? ""Joah, moeten minstens nog een week op de post, anders komen ze niet op tijd over!""";Eh joa, mout dat nou al?' 'Joa, mouten minstens aander weke op post, anders kommen ze nait op tied over!'
Op haar zelfgemaakte kaarten staat de tekst: 'Fine;Op heur zulfgemoakte koartjes staait de tekst: 'Fijne
Feestdagen.;Feestdagen'.
Ik ben zo vrij geweest dat te veranderen in 'Schiere dagen en een gelukkige en voornaamste;k Bin zo vrij west dat te veraandern in 'Schiere doagen en n gelokkeg en veuraal
Zalig 2020!';Gezond 2020!'
Die vrijdag de dertiende;Dat vrijdag de dattiende
Bedoelt u;Meindert
De leerling voor het laatst onder ons is, doet pijn!;Schollema veur t lest onder ons is, dut zeer!
Natuurlijk blijven de mooie herinneringen aan hem, en mooie herinneringen zijn weer een beetje gelok...;Tuurlek blieven de mooie herinnerns aan hom, en mooie herinnerns binnen weer n beetje gelok ...
Maar kaarten versturen met de tekst 'Fine Feestdoagen' gaat er nu even niet in!;Mor koartjes versturen mit de tekst 'Fijne Feestdoagen' gaait der nou even nait in!
Voor de lezers van Kreuze: dat 2020 jullie geluk en gezondheid brengt!;Veur de lezers van Kreuze: dat 2020 joe gelok en gezondhaid brengen mag!
En vooral een koor vol mooie herinneringen!;En veuraal n koare vol mooie herinnerns!
Remco;Remco
Kamper je op kerstdag;Campert op oljoarsdag
Buiten streken ze over swael, in huis ruikt het naar oudjaar,;Boeten strieken ze over zwoavel, ien huus roekt t noar old joar,
Remco was op televisie gedichten aan het lezen, zo mooi, zo waar.;Remco was op televisie las gedichten, zo mooi, zo woar.
Aanmelden;Aansloeten
Door sociale media zijn steeds meer op afstand verbonden, waarbij de mensheid zijn privacy steeds meer wordt geschonden.;Deur socioale media aal meer op òfstand verbonden, woar mensdom zien privacy aal voaker wordt schonden.
Toch vreemd dat onze zeeleven zo vervlingt, daarom houd ik het liever bij persoonlijk contact.;Toch vrumd dat ons soamenleven zo vervlakt, doarom hol ik t laiver bie persoonlek kontakt.
Blijf het zo;Blieven zo 't
"Oud wordt niet oud, zei mij eens een verre neef; het";"Olle wordt nait old,' zee mie ais n verre neef; t"
Nieuw, jong, dat wordt oud,;Nije, jong, dat wordt old,
Moge lijden dat alles bij het oude bleef.;Mog lieden dat alles bie t olle bleef.
Alles in de wereld;Ede in de
Top 2000 23;Top 2000 23
Maandag 30 december, om en om 6 uur 's ochtends is het;Moandag 30 dezember, om en bie 6 uur smörgens is t
Het is nog nooit zo donker geweest;Het nog nooit zo donker west van
Steeds te horen (west) op;Staal te heuren (west) op
NPO;NPO
Radio twee.;Radio 2.
Hij is vrijwel net op nummer 476 in de Top 2000 ingekomen.;Hai is noamelk nij binnenkommen op nummer 476 in de Top 2000.
Een hoop Groningen hebben daarmee eindelijk hun zin gekregen.;n Bult Grunnegers hebben doarmit endelk heur zin kregen.
In 2007 is er al als een actie geweest om te proberen hem in deze lijst te krijgen.;In 2007 is der al es n aksie west om te pebaaiern hom in dizze lieste te kriegen.
Met te veel succes, dreef Ede hoog in de Top 10 te komen.;Mit te groot sukses, Ede draaigde hoog in de Top 10 binnen te kommen.
De zender van Radio 2 heeft dat toen bedreigd, door alle stemmen op Ede te verwijderen.;De zenderboas van Radio 2 het dat toun dwaarsboomd, deur aal stemmen op Ede te schrappen.
De storm van kritiek vanbuiten;De störm van kritiek vanuut
Gronden kon je aankomst zien: meteen werd;Grunnen kon je aankommen zain: votdoadelk wuir
Hilversum weer beschuldigd van;Hilversum weer beticht van
Randstadse arrogantie (wat ze schaamteloos genoeg wel hebben) en heel veel;Randstedelijke arrogantie (wat ze schaande genog wel hebben) en hail veul
Gronings vroeger voelden zich zowat persoonlijk beledigd en gediscrimineerd.;Grunneger vuilden zoch zowat persoonlek beledegd en diskrimineerd.
Maar niet een woord van kritiek richten;Mor nait ain woord van kritiek richten t
Het noorden, die de omvang van haar lezerspel en de persoonlijkheidskult rond;Noorden, dij d'omvang van heur lezerspebliek en de persoonlekhaidskultus rond
Iedereen heeft misbruikt om de;Ede misbruukt hebben om de
Top 2000 te manipuleren.;Top 2000 te manipuleren.
Dit jaar heeft hij columnist;Dit joar het columnist
Eric;Erik
Hulp van;Hulsegge van
Noord dat nog als dunnechees over gedaan, met als resultaat dat;Noord dat nog es dunnechies over doan, mit as rezeltoat dat
Alles nu in de bovenste vorrel van de;Ede nou in t bovenste vörrel van de
De top 2000 is geland.;Top 2000 te lande kommen is.
Wat zou;Wat zol
Iedereen daar heeft eigenlijk zelf vonden, wat uitgevonden van zijn muziek en van hem als kunstenaar.;Ede doar aiglieks zulf van vonden hebben, dat uutventen van zien meziek en van hom as artiest.
Was hij geen anti-artiest die graag liedjes schreef en muziek maakte, maar er net zo lief niet mee naar buiten wilde komen?;Was hai nait n anti-artiest dij geern laidjes schrieven en meziek moaken mog, mor der net zo laif nait mit noar boeten kommen wol?
Als Engbert Gruben hem niet had overgehaald, had niemand ooit van Ede Staal gehoord.;As Engbert Gruben hom nait overhoald haar, haar gainaine ooit van Ede Staal heurd.
Als hij van dat lering met hem wist, zou hij zo omkeren in zijn graf?;As hai van dat geleur mit hom waiten zol, zol e zoch omdraaien in zien graf?
Wie weet, als hij in 2007 op ons deel bekeek van de 'paradise, where the devils and the angels comprise', zou hij stiekem gelogen hebben over zijn disqualificatie?;Wèl wait, as hai in 2007 op ons dele keken het vanuut t 'paradise, where the devils and the angels comprise', zol hai stiekem laagd hebben om zien diskwalifikoatsie?
Dat Ede door normaal stemgedrag een zetel krijgt in de Top 2000, is te verwachten.;Dat Ede deur normoal stemgedrag n stee in de Top 2000 krigt, is te verwachten.
Maar bij iedere stem gaat het wel om de waarden voor dat liedje dat al twintig jaar onze eigen eindjaren heeft verzameld;Mor gaait t bie elke stem wel om de woarderen veur dát laid dat al twijentwinteg joar ons aigen endejoarslieste
Alle vijftig;Alle 50
Goed aangevuld?;Goud aanvoert?
Ik ben op;Ik heb op
Hilversum zit.;Hilversum zit.
Net of ook daar zit een gevoel van miskendheid, die onze regionale media ook wel graag een beetje kunnen aansluiten.;Net of ook doar n gevuil in zit van miskendhaid, dij ons regionoale media ook wel geern n beetje aanslingern maggen.
Ik heb niets tegen Ede en zijn muziek, maar ik heb er ook niet zo veel van.;Ik heb niks tegen Ede en zien meziek, mor k heb der ook nait zoveul mít.
Hij zit niet in de mijne;Hai zit nait 'in mien
DNA', zo als;DNA', zo as
Hensema met zekerheid bedoelt over mij te weten;Hensema mit zekerhaid maint te waiten over mie as
Groninger boven de 30 jaar;Grunneger boven de 30 joar
Daarbij erken ik dat;Doarbie erken k dat
En veel bijdragen het aan de populariteit van het;Ede veul biedroagen het aan de populariteit van t
Grondig liedje en dat zijn muziek nog heel veel betekent voor een bul;Grunnegstoalege laid en dat zien meziek nog slim veul betaikent veur n bult
Dus trek je geen inspiratie aan van wat ik hier heb geschreven (of: laat maar plasen, weet niet beter).;Dus trek joe nait teveul aan van wat k hier schreven heb (of: loat mor plazen, wait nait beter).
Luister naar hem;Luuster noar
Ed zijn muziek, vernuf u ermee en waardeer hem om het gevoel dat het bij u brengt.;Ede zien meziek, vernuver joe dermit en woardeer hom om t gevuil dat t bie joe aanbrengt.
En voor de volgende Top 2000: stem voornamelijk op dat lied dat u het meest aanspreekt.;En veur de volgende Top 2000: stem veuraal op dát laid dat joezulf t mainst aansprekt.
Misschien komt Edden wel vaker in de lijst op, hoewel dat deenen niet zo hoog zullen zijn.;Meschain komt Ede den wel voaker in de lieste veur, al zel dat den nait zo hoog wezen.
Groningen van oud naar jong over te geven;Grunnegs van old noar jong deur te geven
Doodstil heeft in samenwerking met het;Doodstil het ien soamenwaarken mit t
Cultuur het digitale project 'Van;Cultuur t digitale prejekt 'Van
Oude noord;Old noar
De jongen is opzettelijk.;Jong' opzet.
Hiermee is een manier bedoeld waarop;Hiermit is n menaaier bedocht woarop
Grondig schooljongertijd op een leegdrompelge manier;Grunneger schouljeugd op n leegdrumpelge menaaier
Gronings kan leren.;Grunnegs leren kin.
We vroegen streektoalsprekers uit onze dorpen;Wie vrougen streektoalproaters oet ons dörpen
Nogmaals,;Zanneweer,
Eppenkousen en;Eppenhoezen en
Voorlopig welke woorden ze wilden doorgeven aan jongere generaties.;Doodstil welke woorden zai deurgeven wollen aan jongere generoatsies.
In een interview konden ze uitleggen waarom ze voor een bepaald woord hebben gekozen en waarom ze het belangrijk vonden dat juist dat woord wordt doorgegeven.;Ien n interview moggen ze oetleggen woarom ze veur n bepoald woord kozen hebben en woarom ze t belangriek vienden dat juust dát woord deurgeven wordt.
Uit haar inbreng werden meestal genoemde woorden gekozen en bij elk woord werd een kort, toegankelijk verhaal geschreven.;Oet heur inbreng werren mainst nuimde woorden kozen en bie elk woord wer n kört, tougankelk verhoaltje schreven.
De verhalen werden voorgelezen door een aantal dorpelingen en opgenomen voor een aanvraag.;Verhoaltjes werren veurlezen deur n aantal dörpsbewoners en opnomen veur n applicatie.
De eerste versie van deze applicatie kan nog dit schooljaar worden gebruikt op de basisschool in;Eerste versie van dizze applicatie gaait nog dit schouljoar bruukt worden op grondschoul ien
Nogmaals.;Zanneweer.
Daarna wordt het tijd voor meer!;Doarnoa wordt t tied veur meer!
Het project moet verder uitgetrokken worden, over 20-30 plaatsen verspreid in de provincie Groningen.;t Prejekt mout wieder oetrold worden, over 20-30 ploatsen verspraaid ien pervinzie Grunnen.
Hiermee kan de effectiviteit van de toepassing beter beoordeeld worden.;Hiermit kin effectiviteit van applicatie beter beoordaild worden.
En zo kunnen ook veel meer variaties van onze streektaal vastgelegd en doorgevoerd worden.;En zo kinnen ook veul meer varioatsies van ons streektoal vastlegd en deurgeven worden.
Uw dorpsgemeenschap kan ons helpen bij deze uitbreiding.;Joen dörpsgemainschop kin ons helpen bie dizze oetbraaiden.
We zoeken medewerkers van dorpsverenigingen met het hart voor de streektaal.;Wie zuiken mitwaarken van dörpsverainens mit haart veur streektoal.
Naar het voorbeeld van;Noar t veurbeeld van
Tot dusver willen we interviews afnemen (laten) met lokale streektoalsprekers.;Doodstil willen we interviews òfnemen (loaten) mit lokoale streektoalproaters.
De geïnterviewden kunnen zelf aangeven welke woorden ze willen doorgeven aan de volgende generatie.;De geïnterviewden kinnen zulf aangeven welke woorden ze deurgeven willen aan volgende generoatsie.
We willen gedurende een dag of twee (meestal in de middag en 's avonds) geluidsopnames maken van lokale streektoalsprekers.;We willen gedurende n dag of twij (laifst ien mirreg en oavend), geluidsopnoames moaken van lokoale streektoalproaters.
We zouden ermee kennismaken dat het dorpvereniging streektaalprofessionals verzoekt om geïnterviewd te worden en een schema te maken.;We zollen der wies mit weden dat de dörpsverainen streektoalproaters vragt om interviewd te worden en n schema moakt.
Elk interview duurt ongeveer.;Elk interview duurt ca.
20 minuten.;20 minuten.
Het zou ook leuk zijn dat deze streektoalsprokers de andere bewoners willen interviewen.;t Zol ook schier weden dat dizze streektoalproaters d'aander bewoners interviewen willen.
De interviewer hoeft alleen maar te vragen welke woorden en uitdrukkingen de ander doorgeven wil, waarom juist deze woorden, en welke woorden de ondervraagde voor het eerst heeft gehoord.;Interviewer huift bloots te vroagen welke woorden en oetdrokkens aander deurgeven wil, woarom juust dizze woorden, en woar geïnterviewde woorden veur t eerst heurd het.
Onze vrijwilligers maken geluidsopnames.;Ons vrijwilligers moaken geluudsopnoames.
Als er twee of bijzondere ruimtes en intervieweurs zijn, kunnen twee interviews tegelijkertijd opnemen.;As der twij ófzunderlieke roemtes en interviewers binnen, kinve twij interviews touglieks opnemen.
Geluidsopnamen (en de geschreven;Geluudsopnoames (en de geschreven
Groninger teksten) worden gebruikt in een digitale toepassing, die wordt ontwikkeld bij de;Grunneger teksten) worden bruukt in n digitoale applicatie, dij ontwikkeld wordt bie t
Alpha-college;Alfa-college
De toepassing zal worden gebruikt in het beroepsonderwijs.;Applicatie zel bruukt worden ien t boaseonderwies.
In wekelijkse lezingen van 15 tot en met 30 minuten zal altijd één woord centraal staan, waarover leerlingen een;Ien wekelkse lezzen van 15-30 min zel steeds ain woord sentroal stoan, woarover leerlingen n
Grondig kan je verhaaltje lezen en de bijbehorende uitspraak beluisteren.;Grunnegs verhoaltje lezen kinnen en biebeheurende oetsproak beluustern kinnen.
De lees- en luistervermogen van de kinderen zal getest worden, door op een leuke, visuele manier enkele vragen te stellen over verhalen.;Lees- en luustervoardeghaid van kiender zel test worden, deur op n leuke, visuele menaaier enkelde vroagen te stellen over verhoaltjes.
Hierdoor zullen leerlingen woorden schrijven leren en ook hun eigen uitspraak van woorden opnemen, beide worden dan automatisch geconterd.;Doarbie zellen leerlingen woorden schrieven leren én ook heur aigen oetsproak van woorden opnemen kinnen, baaident worden din automoatisch konterleerd.
Als de interviewees daar toestemming voor geven, wordt hun gesproken toelichtingen opgenomen in;As geïnterviewden der toustemmen veur geven, wordt heur gesproken toulichten opnomen in
Wordwaark (https://www.wordwaark.nl), een openbaar beschikbare database van de website;Woordwaark (https://www.woordwaark.nl), n pebliek beschikboare database van t
Cultuur, zouden alle uitingen in de wereld zijn;Cultuur, woarien ale uitingen in t
Gronings worden verzameld.;Grunnegs verzoameld worden.
Woordapparaat kun je bijvoorbeeld online de verschillen verschillen;Woordwaark kin je o.m. online de verschaaiden
Groneger beluisteren dialecten en horen hoe ze klinken en hoeveel variatie er tussen de dialecten zit.;Grunneger dialekten beluustern en heuren hou ze klinken en houveul varioatsie tussen de dialekten zit.
Ben je actief in een dorpje met belangen die hart voor streek heeft of ken je mensen die daar actief zijn, dan zouden we graag willen dat je ons oproup binnen die gemeenschap deelt.;Bin je aktief ien n dörps(belangen)verainen dij haart veur streektoal het of ken je lu dij doar aktief in binnen, din zollen wie geern willen dat je ons oproup binnen dij verainen dailen.
Voor meer informatie over de deelnemer aan het project kunt u contact opnemen met;Veur meer infermoatsie over dailnoame aan t prejekt kin je kontakt opnemen mit
Hendriks-Haak van;Hendriks-Haak van
DorpsbelangenZED@gmail.com, 06-54345610.;DorpsbelangenZED@gmail.com, 06-54345610.
Heeft u op een andere manier interesse voor dit project, kunt u e-mail aan;Hebben ie op n aander menaaier belangstellen veur dit prejekt, kin je mailen aan
Martin;Martijn
Vele, in het bijzonder hoogleraar;Wieling, biezunder hoogleroar
Nedersaksisch/Groenegers;Nedersaksische/Grunneger
Cultuur van de wereld;Kultuur van de
Rijksuniversiteit;Rieksuniversiteit
Groenen u m.b.wieling@rug.nl.;Grunnen m.b.wieling@rug.nl.
25 Wij wensen schrijvers en lezers geluk en gezondheid voor 2020;25 Wie wìnsen schrievers en lezers geluk en gezondhaid tou veur 2020
1 83838383 Henk Dikkema Henk de Weerd vers verhaaltjes nieuw gedicht;1 83838383 Henk Dikkema Henk de Weerd verskes verhoaltjes nijs gedichten
KREUZE nummer 83 15e jaargang, maart 2020 redactie:;KREUZE nummer 83 15e joargang, meert 2020 redaksie:
Geen huis.;Nienhuis.
Wie van hen heeft Gerhard P.J. Jansema Café op drieklaai of zandgrond gemaakt?;Nane van der Molen Gerhard P.J. Jansema Café op driefklaai of zaandgrond?
Hensema;Hensema
Hoffenkamp,;Hoffenkamp,
De goudschat;De goldschat
Niets dus....;Niks dus....
Opwachters;Oppazers
Weinig;Wìnsteg
Scheeperskind;Schipperskind
Geïnspireerde vragen over tegels?;Kiemende vroagen over tegeltjeswieshaid?
Gerhard P. J. Jansema Wordt Engels de nieuwe Gronings?;Gerhard P. J. Jansema Wordt Engels t nije Grunnegs?
Wim Blaauw Wordt Engels het nieuwe Gronings?;Wim Blaauw Wordt Engels t nije Grunnegs?
Poelmannetje;Poelmman–
Boerenplaats;Boerenploats
Noemmen;Noamen
KREUZE 84 komt uit begin mei 2020;KREUZE 84 komt oet begun maai 2020
Aanbiedingen kunnen u tot en met 21 april 2020 verzenden 2 3 4, 5 6 7 8 9 10, 11 12 13, 14 14 15 16 16, 17 17, 18 19 20, 21, 22;Biedroagen kin j’opsturen tot 21 april 2020 2 3 4, 5 6 7 8 9 10, 11 12 13, 14 14 15 16 16, 17 17, 18 19 19 20, 21, 22 22
Vogel;Vogel
Als ik naar een vogel kijk;As ik noar n vogel kiek
Voel ik me enorm rijk;Vuil ik mie ontzettend riek
Hij hoeft niet te denken;Hai huift nait dinken
Wat moet ik doen, drinken;Wat mout ik doun, drinken
Wat zal iemand anders van mij denken;Wat zel n aander van mie dinken
Wat gaat iemand anders aan mij schenken;Wat gaait n aander aan mie schenken
Hij vliegt in de lucht;Hai vlogt in de lucht
En hoeft niet te vluchten;En huift nait op de vlucht
Als ik naar hem kijk;As ik noar hom kiek
Daarom nu dansend door het leven;Daarom nou daansend deur t leven
Want dan kan het me alles geven;Want din kin t mie alles geven
Balans;Balans
"Als meer nu eens een beetje minder was, en minder even wat meer kon zijn;";"As meer nou ais n beetje minder was, en minder even wat meer kon wezen;"
Daar stond alles beter watterpas en hoef je te veel of te weinig niet te vrezen.;Din ston alles beter wotterpas en huif je te veul of te waaineg nait te vrezen.
Niks weten 'Ole, daar hebben jullie niets mee', schommelde laatst een jonge jongen.;Niks waiten 'Olle, doarvan hebben joe gain benul,' schamperde lèst n jonge knul.
Maar toen zijn keten van de fiets afwas, kwam mijn kennis hem goed van pas.;Mor dou zien ket van fiets òf was, kwam mien kennis hom goud van pas.
Vrijheid Vrijheid bestaat voor ons mensen, als we het bestaan van grenzen erkennen.;Vrijhaid Vrijhaid bestaait veur ons mensen, as wie erkennen t bestoan van grenzen.
Wordt deze scheiding doorbroken, dan is chaos en ellende ontstoken.;Wordt dizze schaaiden deurbroken, din is chaos en ellèn ontstoken.
Slim Kort Verhaal 4 Optocht Pop voor optochtwagens aankleden ging niet vanzelf.;Slim Körte Verhoalen 4 Optocht Pop veur optochtwoagen aanklaiden ging nait vanzulf.
De vrouwen waren aan het naaien.;Vraauwlu waren aan t naaien.
Een paar met de hand en een zakkentje.;n Poar mit haand en n zakkennaal.
De buurvrouw kneep op de machine en maakte een maauw.;Buurvraauw tjoekte op t mesien en mouk n maauw.
Voor zekerheid liet ze stof erop zitten.;Veur wizzeghaid lait ze stof der aan zitten.
En daar zat de boel dubbel.;En dou zat boudel dubbel.
Het spul moest opnieuw losgemaakt en opnieuw gezaaid worden.;t Spul mos weer lös en overnijs naaid worden.
De toonbank was klaar, maar de lucht tappte.;Maauw was kloar, mor laip taps.
De stof voor de broek werd langs de deur gesneden.;Stof veur broek wer overlaangs deurknipt.
Het had in de breedte moeten liggen.;t Haar in bredte mouten.
De boeren werden weer aan elkaar aangebracht.;Boanen werden weer aan nkander zet.
Die avond is er ook nog 8 cm van de nek afgestaan.;Dij oavend is der ook nog 8 cm van nek òfzoagd.
De opdracht dit jaar was 'net als anders'.;Opdracht dit joar was 'aans as aans'.
Dat is ons goed gelukt.;Dat is ons goud lukt.
Maximale leeftijd - t;Maximumleeftied - ‘t
De maximale leeftijd legt eenmaal bij 50 levensjaren.;Maximumleeftied legt non ainmoal bie 50 levensjoaren.
De kosten voor geriatrische verzorging worden uitgedrukt en wat de voortbestaan van het soort betreft, hebben u weinig zin om bij te dragen.;Kosten veur geriatrische zörg laipen te spuigoaten oet en wat veurtbestoan van de soort aangaait, hebben joe waaineg zinvols bie te droagen.
Ergo: het is zo ver. - Moeder... - Kom op, meneer, het is zo gebeurd.;Ergo: t is zo wied.’ - ‘Mor...’ - ‘Kom op, meneer, t is zo gebeurd.
Hier is uw voltooide levenspil.;Hier is joen voltooid leven-pil.
Vroeg met uw verjaardag. Ingeborg Nienhuis Arm verdrietig Hoe heet u ook weer?;Van haarten mit joen joardag.’ Ingeborg Nienhuis Aarm verdrait ‘Hou haiten ie ook weer?
Ik nam mijn naam.;k Nuim mien noam.
Het geeft niets, overkomt mij ook regelmatig. Heb niets te schrijven tot hij het opnieuw vraagt.;‘Geft niks, overkomt mie ook geregeld.’ Heb niks ien smiezen tot hai t vannijs vroagt.
Spijtig toch dat ik uw naam vergeten ben.;’Slim toch dat k joen noam vergeten bin.’
"We praten over het weer en het lijkt heel aardig met de oude tot hij zegt, ""Joe, ik ben voor het laatst op beesterbaan,"" zegt de vrouw verder.";Wie proaten over t weer en t liekt hail nuver mit ol tot e zegt ,’Joa, bin leste tied op biesterboan, vraauw zegt oaderverkaalken.
Liever hoor, doe het niet met opzet, alles is weg, zoveel mooie herinneringen.;Maal hur, dou t nait mit opzet, ales is vot, zoveul mooie herinnerns.
De poes verdween.;Apmoal verswonnen.
Maar nu ga ik naar huis of naar de vrouw.;Mor nou goa k op hoes òf noar vraauw tou.
Hij is ook al een beetje zo maar weg.;Dij is ook al n zetje zo mor vot.
Leuk van hem even te hebben gepraat.;Mooi davve even proat hebben.
Hoe heet u ook weer? Nane van der Molen;Hou hait ie ook weer?’ Nane van der Molen
Kruisgasseuse* (Encyclo);Kreuzegazeuse* (Encyclo)
Betekenis: 1) keuzevrijheid, 2);Betaikenis: 1) keuzedraank, 2)
Nedersakdruppels, 3) boerengrachtengordelsloek, 4) bundersloetjenat, 5);Nedersaksdrupkes, 3) boerengrachtengordelslok, 4) bunderslootjenat, 5)
Groen Groenbeer gouwenliker, 6) kikkerritsop, 7) eigen water,;GruinGrunneger gouwenlikeur, 6) kikkerritsiroop, 7) aigenhaimwotter,
Gebruik: na het slotenbak een spoelkom volgt.;Gebruuk: noa t sloothouken n spoulkomke volgaiten.
Bij elke slok komt er een grasgroene Groningen los, anders voor natuurliefhebbers.;Bie elke slok komt der n grasgruine Grunoboer lös, Ommelaander sju veur netuurlaifhebbers.
Deel uw keuze rooster dagelijks op de droadjesvangst Kruuzekeuze thuis.;Dail joen keuzeroes doags op droadjesvangnetstee ‘Kreuzekeuze thoes’.
De zeven maten-schroef afgesloten met een USB-circuit.;Zeuvenmoatjes-kruuk òfsloeten mit n USBkörk.
Het is geen Wet van Algen en Wieren maar bij lezen klopt het effect van zinnen verzetten en proeven.;t Is gain Wet van Algen en Wieren mor bie leeshongerklop eefkes zinnen verzetten en pruiven.
Proost!;Proost!
"Bekende etiketten;";"*Bekinde etiketten;"
Geen huis,;Nienhuis,
Poulmens,;Poelman,
Tappererij:;Tapperij:
Weer;WienWeerd
Koffie op drieklaai of op zandgrond?;Café op driefklaai of zaandgrond?
6 t;6 t
Is het toch heel bijzonder dat ze in t;Is toch wel hail biezunder dat ze in t
De buren slaan er elke maand weer in om;Noaberhoes der elke moal weer in sloagen om
Groninger gelegde liedjes naar haar;Grunneger laidjeszangers noar
Veelervein te halen die de bijzondere gave hebben om de simpele dingen in het leven zo mooi in woorden te brengen in hun liedjes.;Veelerveen te hoalen dij de biezundere goave hebben om de simpele dingen in t leven zo schier onder woorden te brengen in heur laidjes.
Op deze laatste zondag van januari was de beurt aan de uitzender Harry Niehof aan de beurt.;Op dizze leste zundag van jannewoarie was de beurt aan de oet Feerwerd òfkomstege Harry Niehof.
In een goed gevuld café voelde hij zich, als kleindochter van een grootvader die zelf een wrede haar had, altijd thuis.;In n goud gevuld café vuilde hai zok, as klaainzeun van n grootvoader dij zulf n kroug haar, hailemoal thoes.
Ook de Gronings streektolifhebbers gingen er bij dit koffieconcert een beetje goed voor zitten.;Ook de Grunneger streektoallaifhebbers gingen der bie dit kovviekonsert ains goud veur zitten.
Zij kregen heel wat liedjes te horen.;Zai kregen hail wat laidjes te heuren.
de onderwaarpen waren niet altijd even luchtig.;d'Onderwaarpen waren nait aaltied even luchteg.
Als Hogelandster zong hij natuurlijk over de aardbevingen.;As Hogelaandster zong hai netuurlek over de oardbevens.
